lsoa11,index2019
E01001114,-0.212044987
E01001115,-0.038513794
E01001116,-0.514705072
E01001117,-0.750222384
E01001118,0.020021651
E01001119,-0.573541734
E01001120,-0.43613031
E01001121,-0.515853946
E01001122,-0.706668151
E01001123,-0.03609526
E01001124,-0.070625624
E01001125,-0.021000432
E01001126,-0.37991787
E01001127,-0.615489501
E01001128,-0.348366559
E01001129,-0.83014116
E01001130,-0.529526709
E01001131,-0.474471723
E01001132,-0.709789517
E01001133,-0.586445532
E01001134,-0.737424234
E01001135,-0.353045088
E01001136,-0.595982727
E01001137,-0.110732906
E01001138,-0.393044025
E01001139,-0.948417397
E01001140,-0.797142799
E01001141,-0.54470256
E01001142,-0.546975807
E01001143,-0.509246232
E01001144,-0.403694241
E01001145,-0.425754643
E01001146,-0.956448275
E01001147,-0.946753197
E01001148,-0.77751987
E01001149,-1.04355823
